run_id,full_accuracy,auc_coverage,coverage_at_95,coverage_at_98,coverage_at_99,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
resnet50_soft_d4_s224_full_bce_n2000_seed1,0.8994938085676037,0.9796978600752034,0.8425786479250335,0.679990796519411,0.5690679384203481,resnet50,gz2,soft,d4,224,full,bce,2000,1,False,True
resnet50_soft_d4_s224_full_bce_n25000_seed0,0.9429175033467202,0.9940198039986783,0.9835801539491299,0.8822581994645248,0.8186286813922357,resnet50,gz2,soft,d4,224,full,bce,25000,0,False,True
resnet50_soft_d4_s224_full_bce_n25000_seed1,0.9421644912985274,0.9941734578718766,0.9813002008032129,0.888345046854083,0.8292126840696118,resnet50,gz2,soft,d4,224,full,bce,25000,1,False,True
resnet50_soft_d4_s224_full_bce_n50000_seed0,0.9470381526104418,0.9950926095477614,0.9927418005354752,0.9038236278447122,0.8483726572958501,resnet50,gz2,soft,d4,224,full,bce,50000,0,False,True
resnet50_soft_d4_s224_full_bce_n50000_seed1,0.9469335676037484,0.9949888953833916,0.9925326305220884,0.9008743306559571,0.8417001338688086,resnet50,gz2,soft,d4,224,full,bce,50000,1,False,True
resnet50_soft_d4_s224_full_bce_n5000_seed0,0.9206199799196787,0.9878587630109116,0.9227744310575636,0.7894494645247657,0.696619812583668,resnet50,gz2,soft,d4,224,full,bce,5000,0,False,True
resnet50_soft_d4_s224_full_bce_n5000_seed1,0.9219586680053548,0.9883468581156063,0.9263303212851406,0.7953898929049531,0.7034387550200804,resnet50,gz2,soft,d4,224,full,bce,5000,1,False,True
resnet50_soft_d4_s224_full_bce_nfull_seed0,0.9530413319946452,0.9962002463262879,1.0,0.9245942101740294,0.8739750669344043,resnet50,gz2,soft,d4,224,full,bce,0,0,False,True
resnet50_soft_d4_s224_full_bce_nfull_seed0_scratch,0.9498201137884873,0.9954861852163932,0.9996862449799196,0.9094084672021419,0.8577853078982597,resnet50,gz2,soft,d4,224,full,bce,0,0,False,False
resnet50_soft_d4_s224_full_bce_nfull_seed1,0.9536688420348058,0.996311854850295,1.0,0.9267277443105756,0.8762341030789826,resnet50,gz2,soft,d4,224,full,bce,0,1,False,True
resnet50_soft_d4_s224_full_bce_nfull_seed1_scratch,0.9485441767068273,0.9954123259873112,0.9967996987951807,0.9078396921017403,0.853539156626506,resnet50,gz2,soft,d4,224,full,bce,0,1,False,False
resnet50_soft_d4_s224_full_bce_nfull_seed2,0.9529576639892905,0.9961774075646186,1.0,0.9256818942436412,0.8708375167336011,resnet50,gz2,soft,d4,224,full,bce,0,2,False,True
resnet50_soft_d4_s224_full_bce_nfull_seed2_scratch,0.948230421686747,0.9953613410715688,0.9959630187416332,0.9092411311914324,0.854145749665328,resnet50,gz2,soft,d4,224,full,bce,0,2,False,False
resnet50_soft_d4_s224_full_bce_nfull_seed3,0.9520373159303882,0.9960634426876782,1.0,0.9197623828647925,0.8724062918340026,resnet50,gz2,soft,d4,224,full,bce,0,3,False,True
resnet50_soft_d4_s224_full_bce_nfull_seed4,0.9533550870147256,0.9962213456935864,1.0,0.9231718540829986,0.8724062918340026,resnet50,gz2,soft,d4,224,full,bce,0,4,False,True
resnet50_soft_d4_s224_full_focal_nfull_seed0,0.9518281459170014,0.9959175317601866,1.0,0.9145749665327979,0.8665704484605087,resnet50,gz2,soft,d4,224,full,focal,0,0,False,True
resnet50_soft_d4_s224_full_focal_nfull_seed1,0.9524765729585006,0.9960832059628029,1.0,0.9209546519410977,0.8728037148594378,resnet50,gz2,soft,d4,224,full,focal,0,1,False,True
resnet50_soft_d4_s224_full_smooth_nfull_seed0,0.9523510709504686,0.9961758607076627,1.0,0.9234019410977242,0.8753974230254351,resnet50,gz2,soft,d4,224,full,smooth,0,0,False,True
resnet50_soft_d4_s224_full_smooth_nfull_seed1,0.9532714190093708,0.9962722309451871,1.0,0.9254099732262383,0.8753137550200804,resnet50,gz2,soft,d4,224,full,smooth,0,1,False,True
resnet50_soft_d4_s224_partial_bce_nfull_seed0,0.9138637884872824,0.9858417748427237,0.8978622824631861,0.7546644912985274,0.6542628848728246,resnet50,gz2,soft,d4,224,partial,bce,0,0,False,True
resnet50_soft_d4_s224_partial_bce_nfull_seed1,0.9139056224899599,0.9860812672975992,0.8992009705488622,0.7619645247657296,0.6606634872824632,resnet50,gz2,soft,d4,224,partial,bce,0,1,False,True
resnet50_soft_debiased_d4_s224_full_bce_nfull_seed0,0.7001966198125836,0.7875088969112047,0.1148134203480589,0.07871067603748326,0.0658258032128514,resnet50,gz2,soft_debiased,d4,224,full,bce,0,0,False,True
resnet50_soft_debiased_d4_s224_full_bce_nfull_seed1,0.7131442436412316,0.7973096504740242,0.11922690763052209,0.08161813922356091,0.05678965863453815,resnet50,gz2,soft_debiased,d4,224,full,bce,0,1,False,True
resnet50_soft_debiased_d4_s224_full_bce_nfull_seed2,0.721699297188755,0.8063163806627465,0.11303547523427042,0.07555220883534136,0.055660140562248994,resnet50,gz2,soft_debiased,d4,224,full,bce,0,2,False,True
resnet50_soft_flip_s224_full_bce_nfull_seed0,0.9497573627844712,0.9953858286302621,0.9992888219544847,0.9095967202141901,0.8591030789825971,resnet50,gz2,soft,flip,224,full,bce,0,0,False,True
resnet50_soft_flip_s224_full_bce_nfull_seed1,0.9510751338688086,0.996017743563031,1.0,0.9196159638554217,0.8710466867469879,resnet50,gz2,soft,flip,224,full,bce,0,1,False,True
resnet50_soft_flip_s224_full_bce_nfull_seed2,0.9518281459170014,0.9958773396611923,1.0,0.9151397255689424,0.8651271753681392,resnet50,gz2,soft,flip,224,full,bce,0,2,False,True
resnet50_soft_none_s224_full_bce_nfull_seed0,0.9441934404283802,0.9940431886288625,0.985713688085676,0.8829484605087015,0.8195699464524766,resnet50,gz2,soft,none,224,full,bce,0,0,False,True
resnet50_soft_none_s224_full_bce_nfull_seed0_op,0.9526229919678715,0.9962503850372132,1.0,0.9246778781793842,0.8744352409638554,resnet50,gz2,soft,none,224,full,bce,0,0,True,True
resnet50_soft_none_s224_full_bce_nfull_seed1,0.9425200803212851,0.99400396001095,0.9819904618473896,0.8839524765729585,0.8179384203480589,resnet50,gz2,soft,none,224,full,bce,0,1,False,True
resnet50_soft_none_s224_full_bce_nfull_seed1_op,0.9543800200803213,0.9955677258142857,1.0,0.9246569611780455,0.8744352409638554,resnet50,gz2,soft,none,224,full,bce,0,1,True,True
resnet50_soft_none_s224_full_bce_nfull_seed2,0.9478748326639893,0.9952229406067057,0.9953982597054887,0.9044929718875502,0.8495649263721553,resnet50,gz2,soft,none,224,full,bce,0,2,False,True
resnet50_soft_none_s224_full_bce_nfull_seed2_op,0.9509077978580991,0.9957547834224207,1.0,0.9160182396251674,0.8620314591700133,resnet50,gz2,soft,none,224,full,bce,0,2,True,True
resnet50_soft_w_d4_s224_full_bce_nfull_seed0,0.9529367469879518,0.9962298915828258,1.0,0.9240712851405622,0.8753765060240963,resnet50,gz2,soft_w,d4,224,full,bce,0,0,False,True
resnet50_soft_w_d4_s224_full_bce_nfull_seed1,0.9537734270414994,0.9962414050344457,1.0,0.9263303212851406,0.8729919678714859,resnet50,gz2,soft_w,d4,224,full,bce,0,1,False,True
