run_id,bin,bin_centre,confidence,observed,count,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,3,0.23333333333333334,0.23209345390385389,0.007000840100812098,3571,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,4,0.3,0.29828883045746346,0.035258814703675916,2666,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,5,0.3666666666666667,0.36630562884014267,0.11741249446167479,2257,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,6,0.43333333333333335,0.43317853334815376,0.2609793033821302,1981,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,7,0.5,0.49921869071411495,0.4870615296147211,1739,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,8,0.5666666666666667,0.5652233630100736,0.664783427495292,1593,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,9,0.6333333333333333,0.6328665904442219,0.853627760252366,1585,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,10,0.7,0.6999954011760491,0.9394572025052192,1437,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,11,0.7666666666666666,0.7669532479408508,0.9826319305277221,1497,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,12,0.8333333333333334,0.8342219824732046,0.9965682910089224,1457,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,13,0.9,0.901514127951901,0.9993815708101422,1617,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,14,0.9666666666666667,0.9683052221079808,1.0,2419,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
