accuracy_on_sample,arch,background_excess,background_excess_high_agreement,background_excess_low_agreement,background_reliance,background_reliance_high_agreement,background_reliance_low_agreement,deletion_auc,faithfulness,footprint_fraction,footprint_high_agreement,footprint_low_agreement,insertion_auc,label_mode,method,n,run_id
0.93,deit3_small,-0.5870958008397813,-0.5537098192844552,-0.6093531218766652,0.0729544223745045,0.08784590456758569,0.06302676757911703,0.7704164139926434,0.20867740049958228,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9790938144922257,soft,rollout,200,deit3_small_soft_d4_s224_full_bce_nfull_seed0
0.925,densenet121,-0.2750795363552355,-0.05374549479867801,-0.3887924384393384,0.3901965101429093,0.5982985957169926,0.2832816771874169,0.7341328014433384,0.23491843476891516,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9690512362122535,hard,gradcam,200,densenet121_hard_d4_s224_full_bce_nfull_seed0
0.92,densenet121,-0.3381422309816722,-0.14110104059535145,-0.4560301226657957,0.3241733699746195,0.5047185316531909,0.21615489717547418,0.8614995069056749,0.14658102922141553,0.3399497767857143,0.3584442761479592,0.3276201105442177,1.0080805361270904,soft,gradcam,200,densenet121_soft_d4_s224_full_bce_nfull_seed0
0.915,effnetv2_s,0.00806594390786289,0.07191988947687074,-0.03450335313814234,0.6681161671221486,0.7134756133289114,0.63787653631764,0.7088681579381227,0.24989887677133082,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9587670347094536,hard,gradcam,200,effnetv2_s_hard_d4_s224_full_bce_nfull_seed0
0.92,effnetv2_s,0.08488476985481715,-0.06465361219923506,0.18457702455751862,0.7449349930691028,0.5769021116528057,0.856956914013301,0.8326576718688011,0.13864618837833403,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9713038602471351,soft,gradcam,200,effnetv2_s_soft_d4_s224_full_bce_nfull_seed0
0.925,mobilenetv3,-0.15224332052900555,-0.021678549032072544,-0.23928650152696082,0.5078069026852802,0.6198771748199683,0.4330933879288215,0.6646854969114065,0.2183987010270357,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.8830841979384423,hard,gradcam,200,mobilenetv3_hard_d4_s224_full_bce_nfull_seed0
0.915,mobilenetv3,-0.005539622549108829,0.05923057827261977,-0.048719756430261246,0.6545106006651769,0.7007863021246606,0.623660133025521,0.8281302976608277,0.09239623457193374,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9205265322327614,soft,gradcam,200,mobilenetv3_soft_d4_s224_full_bce_nfull_seed0
0.935,resnet50,-0.1062430031682387,0.03656882021983078,-0.20145088542695166,0.5538072200460471,0.6781245440718715,0.47092900402883064,0.7749031771719456,0.21403657808899879,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9889397552609444,hard,gradcam,200,resnet50_hard_d4_s224_full_bce_nfull_seed0
0.92,resnet50,-0.22940990722110882,-0.013497667196418501,-0.3691178272370849,0.4315867518857738,0.6301571871966374,0.3030999996258031,0.8708414678275586,0.15368069633841513,0.3399497767857143,0.3584442761479592,0.3276201105442177,1.0245221641659736,soft,gradcam,200,resnet50_soft_d4_s224_full_bce_nfull_seed0
0.925,resnet50,-0.21635395972419436,-0.046136559093255466,-0.3284137484728958,0.4438407478698986,0.5955490114957397,0.3439661409828865,0.8055692748725414,0.1907990299165249,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9963683047890664,soft,gradcam,200,resnet50_soft_none_s224_full_bce_nfull_seed0_op
0.91,swin_tiny,-0.06724523660683103,0.13509738346364236,-0.2021403166538133,0.5928049866074546,0.7766531073156833,0.47023957280196904,0.7982482089102269,0.19088985688984395,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9891380658000708,hard,gradcam,200,swin_tiny_hard_d4_s224_full_bce_nfull_seed0
0.925,swin_tiny,-0.23814527529819035,0.054717894251970225,-0.4333873883316307,0.4219049479160953,0.696273618104011,0.2389925011241516,0.8518710796535015,0.1679436258971691,0.3399497767857143,0.3584442761479592,0.3276201105442177,1.0198147055506706,soft,gradcam,200,swin_tiny_soft_d4_s224_full_bce_nfull_seed0
0.9,vit_base,-0.4182685385093671,-0.3554674962752736,-0.4601358999987628,0.24178168470491865,0.2860882275767672,0.21224398945701953,0.581948570497334,0.39021147053688765,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9721600410342216,hard,rollout,200,vit_base_hard_d4_s224_full_bce_nfull_seed0
