run_id,n_test,accuracy,accuracy_lo,accuracy_hi,balanced_accuracy,balanced_accuracy_lo,balanced_accuracy_hi,auc_roc,auc_roc_lo,auc_roc_hi,auc_pr,auc_pr_lo,auc_pr_hi,f1,f1_lo,f1_hi,ece,ece_lo,ece_hi,brier,brier_lo,brier_hi
convnext_tiny_soft_d4_s224_full_focal_nfull_seed0,47808,0.9536688420348058,0.9518281459170014,0.95557281208166,0.9443882373028625,0.9418980588338873,0.9469703029618822,0.9913523288840012,0.9908107592493902,0.9919052613190119,0.9775116249094817,0.976126432015779,0.9788999707301144,0.9124332872109112,0.9089127123883269,0.9160527943519282,0.05300736016834029,0.051452397772888486,0.05473326604160284,0.037366419358465935,0.036476356262418644,0.03822290863613725
convnext_tiny_soft_d4_s224_full_smooth_nfull_seed0,47808,0.9533132530120482,0.9514516398929049,0.9552799740629184,0.9471290912742435,0.9446859527079623,0.9496599302249312,0.991403526470132,0.9908733007693467,0.9919515131525485,0.9776195188803127,0.9762333753667892,0.9790045376689861,0.91261451726568,0.9089905801273851,0.9163357694236907,0.17553988641917762,0.17377975927054923,0.17735409061340662,0.06915606497323991,0.06841458952933174,0.06988377378027495
convnext_tiny_soft_d4_s224_partial_bce_nfull_seed0,47808,0.9339859437751004,0.9316845507028112,0.936161311914324,0.9223607390267203,0.9194670206120741,0.9252151577340288,0.9823120461477364,0.9813825721050294,0.983230984430521,0.9554811112695039,0.9531019682088886,0.9577525681010849,0.8765451416053825,0.8720998769992386,0.8807756409281481,0.1263571899748389,0.12440320736469092,0.12839940300546587,0.06664018828701077,0.06575188226951262,0.06755870799623144
convnext_tiny_soft_debiased_d4_s224_full_bce_nfull_seed0,47808,0.7444151606425703,0.7404200133868809,0.7483480798192771,0.821846152469642,0.8189537597288451,0.8247663006337105,0.9457491430075803,0.9438075750395338,0.947645524225248,0.8715402718674566,0.8669695155158572,0.8763590294849765,0.6676639377702832,0.6623212073973979,0.6729896317644979,0.07161427459771805,0.06796414473610204,0.07537189229835123,0.19078586820778573,0.188451431260083,0.1930454335917187
convnext_tiny_soft_flip_s224_full_bce_nfull_seed0,47808,0.9540453480589023,0.9521622950133869,0.9558865671017404,0.9410133980507603,0.9383681786550591,0.9434729188883666,0.9908011301998716,0.9902107775153961,0.9913784541509969,0.9762799057779572,0.9747916375420074,0.9777283527522455,0.9121094531343762,0.9085041557562653,0.9156656215130856,0.14131903555236414,0.13953930499655456,0.14313567813358827,0.059243759772338894,0.058466493103392365,0.06000189209719273
convnext_tiny_soft_none_s224_full_bce_nfull_seed0,47808,0.9524974899598394,0.9504894578313253,0.9543591030789826,0.9402254434253606,0.93761592313454,0.9428658311632327,0.9907114300689068,0.9901184315655275,0.9912962087303185,0.976162856560535,0.9747367626635586,0.9776479163676531,0.9094894583715276,0.90579003175653,0.9131530985287503,0.1414302371686598,0.1395666688491616,0.14320710060168426,0.06024135360353831,0.059484355968316534,0.061005468466020764
convnext_tiny_soft_none_s224_full_bce_nfull_seed0_op,47808,0.9542126840696118,0.9523510709504686,0.9560952141900937,0.9416191938062572,0.9389633772002643,0.9442575931804132,0.9914339233354533,0.9908845734534362,0.9920048291174953,0.9776489323478628,0.9762370432959369,0.9791297981998923,0.9125344627801973,0.9089459288769253,0.9162109676847671,0.14068816043931331,0.13889443466837761,0.14245968826726263,0.05887993423256519,0.05812250489519462,0.0596388075102961
convnext_tiny_soft_w_d4_s224_full_bce_nfull_seed0,47808,0.9543591030789826,0.9525184069611781,0.9562625502008032,0.9428589748424754,0.9403298467092203,0.9454314148289746,0.9915616450697305,0.9910228616822327,0.9920948279308941,0.9779866837326364,0.9766185347295818,0.9793972117475596,0.9130954277521108,0.9096039402230175,0.9166871384211622,0.1405048702316034,0.1387720584842385,0.1423183637759439,0.058144223294361426,0.05739322898108043,0.05887278548962365
deit3_small_hard_d4_s224_full_bce_nfull_seed0,47808,0.9471427376171352,0.9451347054886211,0.9491512926706828,0.9280213345296012,0.9249911329758957,0.9309182823552179,0.9882970401098333,0.9876053814517382,0.9889752437984181,0.9696396084001998,0.9677958807378776,0.9713879730145426,0.8976301397609885,0.8935843179739014,0.9016133483048161,0.0194700757474569,0.01781203026122491,0.02125578079980964,0.03899933711297559,0.03761494411015645,0.04036082235220105
deit3_small_soft_d4_s224_full_bce_nfull_seed0,47808,0.9538989290495314,0.9520577100066934,0.9558860441767069,0.9431957790974974,0.9405965234614608,0.9458152015909776,0.9910140534470131,0.9904418366033411,0.9915832532914186,0.9765240859640025,0.9750752743617864,0.9779845092700585,0.9124702144559174,0.9088746311984975,0.9162454398587382,0.14344363993052003,0.141680301274157,0.14529321259525146,0.059515111113081616,0.05874372595213058,0.0602590378816645
densenet121_hard_d4_s224_full_bce_nfull_seed0,47808,0.9484186746987951,0.9464937876506023,0.9504894578313253,0.9318400782689678,0.9291542080718413,0.93476599803336,0.9888872064001737,0.9882387777502462,0.9895530354319039,0.9717352214141395,0.9701150003965717,0.9733714871484126,0.9007725736359247,0.8970944058194509,0.9048157421938555,0.014826255364971898,0.01318422012245294,0.016651961653694546,0.03736734075533571,0.03602848533915536,0.03865008822848205
densenet121_soft_d4_s224_full_bce_nfull_seed0,47808,0.9537525100401606,0.951953125,0.9556768741633199,0.9411523084811915,0.9386054123040017,0.9438426208884706,0.991267181817347,0.990711178102693,0.9918287795099662,0.9772106429434166,0.9757915512623762,0.9786117385202794,0.9116906977673044,0.9082071095016351,0.9153278475202475,0.14208508025956282,0.14031623587243292,0.14382083878290394,0.058985306898392105,0.05821206854949825,0.05972274140915597
effnetv2_s_hard_d4_s224_full_bce_nfull_seed0,47808,0.9473309906291834,0.945281124497992,0.9494017737617135,0.9331523135991351,0.9304818235211895,0.9359671286814377,0.9886169422195404,0.9879649822922706,0.9893083169375327,0.9708175116231311,0.9691233677069465,0.9725914082162848,0.8995291676641929,0.8957059254038877,0.9035562215236176,0.009978300293348001,0.008443350887388963,0.011870554086095452,0.0375290670208339,0.03618244364115512,0.03877854816072213
effnetv2_s_soft_d4_s224_full_bce_nfull_seed0,47808,0.9546728580990629,0.9529362240629183,0.9566186621485944,0.9398305632130117,0.9372503291654263,0.942612906541972,0.9911862169001979,0.9906115731836019,0.9917732442676488,0.9770123123983439,0.9755673519000869,0.9785033470899274,0.9127722094755063,0.909361482941888,0.9165300783540887,0.13902230740880464,0.13730451880010067,0.14081563437357453,0.057728457342573855,0.05697832271952487,0.05846388103654748
mobilenetv3_hard_d4_s224_full_bce_nfull_seed0,47808,0.9463060575635877,0.9443178965863455,0.9484186746987951,0.9279478593692145,0.9250699796113332,0.9309668460392931,0.9879523513630263,0.9872740335790665,0.9886521613169105,0.9687373626863697,0.9669015977468594,0.9705632424427294,0.896337277389654,0.8924314642658266,0.9003534237692544,0.014501730578821254,0.013078614962833945,0.01647570477350739,0.038942730796518756,0.03759319350184904,0.04025037105058692
mobilenetv3_soft_d4_s224_full_bce_nfull_seed0,47808,0.9510751338688086,0.9491711638219544,0.9531046059236948,0.9377335402119925,0.9350273873827786,0.9405800927788127,0.9902962073913488,0.9896913506705858,0.9909104854975436,0.974666928333578,0.9731628828261726,0.9762248288883891,0.9065931871730362,0.9027969388478247,0.9104016860924858,0.14229695461030425,0.14045319055454128,0.1441370076228,0.060556558612313356,0.05975655754850078,0.061337532816913634
resnet50_hard_conf_d4_s224_full_bce_nfull_seed0,47808,0.9441725234270415,0.9421639683734939,0.9463902484939759,0.932467266847808,0.9297303491162263,0.93527703188834,0.9862894019054794,0.9854708643153527,0.9870897128013539,0.9650698730601166,0.9630841245047631,0.9670310200622397,0.8946100691016783,0.8906893180996206,0.8985845370366903,0.04535315221391689,0.04348284196629533,0.047384957295852154,0.04956629485530882,0.04764462650849469,0.05133773625239753
resnet50_hard_d4_s224_full_bce_n10000_seed0,47808,0.9144703815261044,0.9119394243641231,0.9170227786144579,0.9158461819431903,0.9129852080883348,0.9185922539187795,0.9753127465165589,0.974079963659079,0.9764876716782691,0.9398585156259799,0.9368913115002044,0.9427483668691938,0.8486284381594047,0.8440598180678734,0.8530978277593202,0.025290211237862563,0.02320830843781357,0.02761153295743386,0.062797603047275,0.061127056528224505,0.06449878398966614
