run_id,bin,n,share,accuracy,accuracy_gold,gold_matches_panel,majority_baseline,lift,error_share,arch,label_mode,seed,test_accuracy
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,2,167,0.2621664050235479,0.7664670658682635,0.9341317365269461,0.7964071856287425,0.6946107784431137,0.07185628742514982,0.2074468085106383,resnet50,hard,1,0.7048665620094191
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,3,91,0.14285714285714285,0.8461538461538461,0.945054945054945,0.8351648351648352,0.945054945054945,-0.09890109890109888,0.07446808510638298,resnet50,hard,1,0.7048665620094191
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005319148936170213,resnet50,hard,1,0.7048665620094191
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,0,171,0.2684458398744113,0.5321637426900585,0.9415204678362573,0.49707602339181284,0.5146198830409356,0.01754385964912286,0.4419889502762431,resnet50,hard,2,0.7158555729984302
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,1,184,0.28885400313971743,0.717391304347826,0.9347826086956522,0.717391304347826,0.5,0.21739130434782605,0.287292817679558,resnet50,hard,2,0.7158555729984302
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,2,167,0.2621664050235479,0.7964071856287425,0.9760479041916168,0.7964071856287425,0.6946107784431137,0.10179640718562877,0.1878453038674033,resnet50,hard,2,0.7158555729984302
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,3,91,0.14285714285714285,0.8461538461538461,0.945054945054945,0.8351648351648352,0.945054945054945,-0.09890109890109888,0.07734806629834254,resnet50,hard,2,0.7158555729984302
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.0055248618784530384,resnet50,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,0,171,0.2684458398744113,0.5146198830409356,0.9707602339181286,0.49707602339181284,0.5146198830409356,0.0,0.453551912568306,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,1,184,0.28885400313971743,0.7065217391304348,0.9891304347826086,0.717391304347826,0.5,0.2065217391304348,0.29508196721311475,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,2,167,0.2621664050235479,0.8083832335329342,0.9880239520958084,0.7964071856287425,0.6946107784431137,0.11377245508982048,0.17486338797814208,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,3,91,0.14285714285714285,0.8571428571428571,0.9560439560439561,0.8351648351648352,0.945054945054945,-0.08791208791208793,0.07103825136612021,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.00546448087431694,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,0,171,0.2684458398744113,0.5263157894736842,0.9590643274853801,0.49707602339181284,0.5146198830409356,0.011695906432748537,0.4576271186440678,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,1,184,0.28885400313971743,0.717391304347826,0.9782608695652174,0.717391304347826,0.5,0.21739130434782605,0.2937853107344633,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,2,167,0.2621664050235479,0.8323353293413174,0.9640718562874252,0.7964071856287425,0.6946107784431137,0.13772455089820368,0.15819209039548024,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,3,91,0.14285714285714285,0.8351648351648352,0.978021978021978,0.8351648351648352,0.945054945054945,-0.10989010989010983,0.0847457627118644,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005649717514124294,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,0,171,0.2684458398744113,0.5380116959064327,0.9590643274853801,0.49707602339181284,0.5146198830409356,0.023391812865497075,0.43646408839779005,vit_small,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,1,184,0.28885400313971743,0.7119565217391305,0.9836956521739131,0.717391304347826,0.5,0.2119565217391305,0.292817679558011,vit_small,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,2,167,0.2621664050235479,0.8023952095808383,0.9820359281437125,0.7964071856287425,0.6946107784431137,0.10778443113772462,0.18232044198895028,vit_small,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,3,91,0.14285714285714285,0.8351648351648352,0.978021978021978,0.8351648351648352,0.945054945054945,-0.10989010989010983,0.08287292817679558,vit_small,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.0055248618784530384,vit_small,hard,2,0.7158555729984302
