run_id,bin,agreement_low,agreement_high,n,share,featured_fraction,majority_baseline,lift,error_share,accuracy,balanced_accuracy,auc_roc,ece,brier,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,2,0.4,0.6,6995,0.14631442436412315,0.2923516797712652,0.7076483202287348,-0.20486061472480344,0.23573268266232886,0.5027877055039314,0.6471084932454125,0.9449276135437505,0.3386822684988958,0.34324310480722936,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,3,0.6,0.8,13270,0.2775686077643909,0.16729464958553128,0.8327053504144687,-0.12645064054257715,0.2641995391080385,0.7062547098718915,0.8225400513635808,0.9942364762952998,0.09724290082817187,0.19077381964914852,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,4,0.8,1.0,16733,0.35000418340026773,0.22769377876053307,0.7723062212394669,0.13022171756409495,0.1105462925308391,0.9025279388035619,0.9368954577110578,0.999862125007337,0.05678428426071198,0.07683879553605098,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,0,0.0,0.2,5107,0.10682312583668005,0.4315645192872528,0.5684354807127472,-0.11435284903074211,0.18106247564618783,0.4540826316820051,0.5167481165050486,0.6107901707539544,0.4714381532739561,0.480315211749137,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,1,0.2,0.4,5703,0.11928965863453815,0.38523584078555145,0.6147641592144486,-0.15605821497457484,0.20048058189375242,0.45870594423987376,0.5580552981416084,0.8066712996849669,0.4512699604856333,0.4511439674487705,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,2,0.4,0.6,6995,0.14631442436412315,0.2923516797712652,0.7076483202287348,-0.22444603288062903,0.23477074944798026,0.4832022873481058,0.6341310414660049,0.9494196735076932,0.3835824147687281,0.3917339357797799,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,3,0.6,0.8,13270,0.2775686077643909,0.16729464958553128,0.8327053504144687,-0.14431047475508663,0.2685413690089622,0.6883948756593821,0.8123559985324691,0.994947963800905,0.13030269952971152,0.2140332675273545,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,4,0.8,1.0,16733,0.35000418340026773,0.22769377876053307,0.7723062212394669,0.12173549273889916,0.11514482400311729,0.8940417139783661,0.9313088344998429,0.9998416118243673,0.03609823808741891,0.08013052572354518,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,0,0.0,0.2,5107,0.10682312583668005,0.4315645192872528,0.5684354807127472,-0.113177990992755,0.17957655564162148,0.4552574897199922,0.5177269055792462,0.6170280853463437,0.462149949816012,0.47129841895706703,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,1,0.2,0.4,5703,0.11928965863453815,0.38523584078555145,0.6147641592144486,-0.17113799754515174,0.20481538858765816,0.44362616166929686,0.5457906090372159,0.8037405023341221,0.45554373144656646,0.4471203214020629,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,2,0.4,0.6,6995,0.14631442436412315,0.2923516797712652,0.7076483202287348,-0.240457469621158,0.24057578104828298,0.4671908506075768,0.6231048875058655,0.9454957397940282,0.3797233819541487,0.38331827021310183,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,3,0.6,0.8,13270,0.2775686077643909,0.16729464958553128,0.8327053504144687,-0.1437076111529766,0.2663955589981926,0.6889977392614921,0.8128979658391423,0.9948050425991601,0.1073548844350837,0.20380691177481075,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,4,0.8,1.0,16733,0.35000418340026773,0.22769377876053307,0.7723062212394669,0.12711408593796691,0.10863671572424477,0.8994203071774338,0.9348835409734582,0.9999370590554227,0.05766031433410907,0.07698407056407494,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed0,0,0.0,0.2,5107,0.10682312583668005,0.4315645192872528,0.5684354807127472,0.1063246524378304,0.7779859484777517,0.6747601331505776,0.6677041961097883,0.7335843982662656,0.08313990030412176,0.21597500311756562,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,0,False,True
