run_id,spearman_vs_votefraction,mae_vs_votefraction,pearson_vs_votefraction,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
convnext_tiny_soft_d4_s224_partial_bce_nfull_seed1,0.9053913278195721,0.06743083397392319,0.9490135379616922,convnext_tiny,gz2,soft,d4,224,partial,bce,0,1,False,True
convnext_tiny_soft_debiased_d4_s224_full_bce_nfull_seed0,0.8277892561588066,0.23397325513681785,0.8122317811145564,convnext_tiny,gz2,soft_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_soft_debiased_d4_s224_full_bce_nfull_seed1,0.823604427172664,0.25892569294624407,0.7888246435739978,convnext_tiny,gz2,soft_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_soft_debiased_d4_s224_full_bce_nfull_seed2,0.8251679148067709,0.2880460262873121,0.7797013918383684,convnext_tiny,gz2,soft_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_soft_flip_s224_full_bce_nfull_seed0,0.9171893821847281,0.054794620945703996,0.9689753930161068,convnext_tiny,gz2,soft,flip,224,full,bce,0,0,False,True
convnext_tiny_soft_flip_s224_full_bce_nfull_seed1,0.9230053724958907,0.05437096889214008,0.970311413809256,convnext_tiny,gz2,soft,flip,224,full,bce,0,1,False,True
convnext_tiny_soft_flip_s224_full_bce_nfull_seed2,0.918634756211189,0.05473387761404811,0.9694313827998199,convnext_tiny,gz2,soft,flip,224,full,bce,0,2,False,True
convnext_tiny_soft_none_s224_full_bce_nfull_seed0,0.9137734172889781,0.056167011584446105,0.9678388013471828,convnext_tiny,gz2,soft,none,224,full,bce,0,0,False,True
convnext_tiny_soft_none_s224_full_bce_nfull_seed0_op,0.9170671555063331,0.05445369309238561,0.9699556664933026,convnext_tiny,gz2,soft,none,224,full,bce,0,0,True,True
convnext_tiny_soft_none_s224_full_bce_nfull_seed1,0.9209994160747378,0.05830720302495981,0.9659187538424188,convnext_tiny,gz2,soft,none,224,full,bce,0,1,False,True
convnext_tiny_soft_none_s224_full_bce_nfull_seed1_op,0.9170440945952535,0.05462734650377282,0.9698760696069533,convnext_tiny,gz2,soft,none,224,full,bce,0,1,True,True
convnext_tiny_soft_none_s224_full_bce_nfull_seed2,0.9142879456150891,0.05603302296089483,0.9679722004413903,convnext_tiny,gz2,soft,none,224,full,bce,0,2,False,True
convnext_tiny_soft_none_s224_full_bce_nfull_seed2_op,0.9211512679325395,0.05597743741132909,0.9692840191492762,convnext_tiny,gz2,soft,none,224,full,bce,0,2,True,True
convnext_tiny_soft_w_d4_s224_full_bce_nfull_seed0,0.9230848282706049,0.05290881696695724,0.971183171215447,convnext_tiny,gz2,soft_w,d4,224,full,bce,0,0,False,True
convnext_tiny_soft_w_d4_s224_full_bce_nfull_seed1,0.9239282050534517,0.05291298833330449,0.9712152447154708,convnext_tiny,gz2,soft_w,d4,224,full,bce,0,1,False,True
convnext_tiny_soft_w_d4_s224_full_bce_nfull_seed2,0.922761020877703,0.05297051062550555,0.9712091767609782,convnext_tiny,gz2,soft_w,d4,224,full,bce,0,2,False,True
deit3_small_hard_d4_s224_full_bce_nfull_seed0,0.8843799895857879,0.1614965854592007,0.9066332564589907,deit3_small,gz2,hard,d4,224,full,bce,0,0,False,True
deit3_small_hard_d4_s224_full_bce_nfull_seed1,0.8959694169265002,0.15839216150368915,0.9108159118211068,deit3_small,gz2,hard,d4,224,full,bce,0,1,False,True
deit3_small_hard_d4_s224_full_bce_nfull_seed2,0.8861887472183161,0.1606309231486182,0.9085481022388681,deit3_small,gz2,hard,d4,224,full,bce,0,2,False,True
deit3_small_hard_d4_s224_full_bce_nfull_seed3,0.8780141679049399,0.165356825595513,0.9025917624814306,deit3_small,gz2,hard,d4,224,full,bce,0,3,False,True
deit3_small_hard_d4_s224_full_bce_nfull_seed4,0.8977898602309474,0.1595357264002905,0.9099305419691918,deit3_small,gz2,hard,d4,224,full,bce,0,4,False,True
deit3_small_soft_d4_s224_full_bce_nfull_seed0,0.9224987892516279,0.0541421901421185,0.9698524954775781,deit3_small,gz2,soft,d4,224,full,bce,0,0,False,True
deit3_small_soft_d4_s224_full_bce_nfull_seed1,0.9230699196638731,0.053951721882071445,0.9699318709365301,deit3_small,gz2,soft,d4,224,full,bce,0,1,False,True
deit3_small_soft_d4_s224_full_bce_nfull_seed2,0.9218882471397484,0.054123667076084896,0.9696766359461847,deit3_small,gz2,soft,d4,224,full,bce,0,2,False,True
deit3_small_soft_d4_s224_full_bce_nfull_seed3,0.921970913408569,0.05443998201312038,0.9696901662112026,deit3_small,gz2,soft,d4,224,full,bce,0,3,False,True
deit3_small_soft_d4_s224_full_bce_nfull_seed4,0.9223076695650341,0.0544918767052471,0.969567109399844,deit3_small,gz2,soft,d4,224,full,bce,0,4,False,True
densenet121_hard_d4_s224_full_bce_nfull_seed0,0.8829275182896893,0.15840507337176943,0.9116854954177639,densenet121,gz2,hard,d4,224,full,bce,0,0,False,True
densenet121_hard_d4_s224_full_bce_nfull_seed1,0.8856494376136128,0.15605547735635936,0.913350868377719,densenet121,gz2,hard,d4,224,full,bce,0,1,False,True
densenet121_hard_d4_s224_full_bce_nfull_seed2,0.8762201240540161,0.15733717358601068,0.9130267423712304,densenet121,gz2,hard,d4,224,full,bce,0,2,False,True
densenet121_hard_d4_s224_full_bce_nfull_seed3,0.8863363115585303,0.1557735908957665,0.9150706272537353,densenet121,gz2,hard,d4,224,full,bce,0,3,False,True
densenet121_hard_d4_s224_full_bce_nfull_seed4,0.8831780487692849,0.15750481418442294,0.9125447349383902,densenet121,gz2,hard,d4,224,full,bce,0,4,False,True
densenet121_soft_d4_s224_full_bce_nfull_seed0,0.9218088953309722,0.053504645382308126,0.9705183577677413,densenet121,gz2,soft,d4,224,full,bce,0,0,False,True
densenet121_soft_d4_s224_full_bce_nfull_seed1,0.9218482697954231,0.05423068009276592,0.9695816091967389,densenet121,gz2,soft,d4,224,full,bce,0,1,False,True
densenet121_soft_d4_s224_full_bce_nfull_seed2,0.9219528471043676,0.05404350170204749,0.9699992622325527,densenet121,gz2,soft,d4,224,full,bce,0,2,False,True
densenet121_soft_d4_s224_full_bce_nfull_seed3,0.9221214164295592,0.053792265168171864,0.9701188517244728,densenet121,gz2,soft,d4,224,full,bce,0,3,False,True
densenet121_soft_d4_s224_full_bce_nfull_seed4,0.9212896566095486,0.05369004400383754,0.970175032976666,densenet121,gz2,soft,d4,224,full,bce,0,4,False,True
effnetv2_s_hard_d4_s224_full_bce_nfull_seed0,0.8764197083677283,0.15313216640563934,0.9176073510270918,effnetv2_s,gz2,hard,d4,224,full,bce,0,0,False,True
effnetv2_s_hard_d4_s224_full_bce_nfull_seed1,0.8690563353823135,0.1536455654574514,0.9182231699895272,effnetv2_s,gz2,hard,d4,224,full,bce,0,1,False,True
effnetv2_s_hard_d4_s224_full_bce_nfull_seed2,0.8769696511741127,0.15125602479703207,0.9188854039855235,effnetv2_s,gz2,hard,d4,224,full,bce,0,2,False,True
effnetv2_s_hard_d4_s224_full_bce_nfull_seed3,0.8832807487003409,0.15056350762351142,0.9197919968743177,effnetv2_s,gz2,hard,d4,224,full,bce,0,3,False,True
effnetv2_s_hard_d4_s224_full_bce_nfull_seed4,0.8856862700402846,0.15157005023520737,0.9201222800835416,effnetv2_s,gz2,hard,d4,224,full,bce,0,4,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed0,0.9225561477467416,0.053886385096492385,0.9703335131772983,effnetv2_s,gz2,soft,d4,224,full,bce,0,0,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed1,0.921984571313152,0.053815686051083264,0.9702655446398532,effnetv2_s,gz2,soft,d4,224,full,bce,0,1,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed2,0.9226182576748899,0.05575402295081861,0.9702741603666827,effnetv2_s,gz2,soft,d4,224,full,bce,0,2,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed3,0.9226258200551022,0.05344539653720733,0.9708522561736929,effnetv2_s,gz2,soft,d4,224,full,bce,0,3,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed4,0.9220517376522923,0.05454955411841156,0.9701322093594531,effnetv2_s,gz2,soft,d4,224,full,bce,0,4,False,True
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,0.6589844828772808,0.38901229065980686,0.6827658963370277,convnext_tiny,fmh,hard,none,224,full,bce,0,0,False,True
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,0.6936330456910712,0.39032106465613847,0.6876494672850745,convnext_tiny,fmh,hard,none,224,full,bce,0,1,False,True
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,0.6745120241583147,0.38823153636782554,0.6930547269031568,convnext_tiny,fmh,hard,none,224,full,bce,0,2,False,True
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,0.7327860405033588,0.3826117495678422,0.6848863905053979,resnet50,fmh,hard,none,224,full,bce,0,0,False,True
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,0.7081335751335412,0.3815192896026712,0.6815015200057811,resnet50,fmh,hard,none,224,full,bce,0,1,False,True
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,0.7323012606367356,0.3680613478824331,0.6991322198457277,resnet50,fmh,hard,none,224,full,bce,0,2,False,True
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,0.7214191510240472,0.376016383126882,0.6991630202112666,vit_small,fmh,hard,none,224,full,bce,0,0,False,True
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,0.7179354561106142,0.3764826082014091,0.701637844567751,vit_small,fmh,hard,none,224,full,bce,0,1,False,True
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,0.6889619173358075,0.38620283086303586,0.6858798558249767,vit_small,fmh,hard,none,224,full,bce,0,2,False,True
